level,BusinessTravel,Department,Education,EducationField,Gender,JobRole,MaritalStatus,OverTime,ClassAttrition
Junior Senior,Travel_Frequently,Research & Development,S1,Medical,Male,Research Scientist,Married,Yes,No
Senior,Travel_Frequently,Sales,S1,Marketing,Female,Sales Executive,Married,No,No
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Single,No,Yes
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Male,Sales Executive,Married,No,No
Junior Senior,Travel_Frequently,Research & Development,S2,Life Sciences,Male,Laboratory Technician,Married,No,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Manufacturing Director,Divorced,No,No
Senior,Travel_Rarely,Sales,S2,Life Sciences,Male,Manager,Single,No,No
Junior,Travel_Rarely,Sales,S1,Medical,Female,Sales Representative,Single,No,No
Junior,Travel_Rarely,Research & Development,D3,Medical,Male,Healthcare Representative,Single,No,No
Junior Senior,Travel_Rarely,Sales,S1,Technical Degree,Male,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Healthcare Representative,Divorced,No,No
Junior Senior,Non-Travel,Research & Development,S2,Life Sciences,Female,Laboratory Technician,Married,No,No
Junior Senior,Travel_Rarely,Sales,S1,Life Sciences,Male,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Female,Research Director,Married,No,No
Senior,Non-Travel,Research & Development,S2,Life Sciences,Male,Healthcare Representative,Divorced,Yes,No
Junior Senior,Travel_Rarely,Research & Development,S2,Technical Degree,Male,Research Scientist,Married,Yes,No
Junior Senior,Travel_Rarely,Human Resources,S1,Human Resources,Male,Human Resources,Married,No,No
Senior,Travel_Frequently,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Male,Research Scientist,Divorced,Yes,No
Junior Senior,Travel_Frequently,Research & Development,S2,Life Sciences,Female,Manager,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Medical,Male,Manager,Married,Yes,No
Senior,Travel_Frequently,Research & Development,S2,Life Sciences,Female,Laboratory Technician,Single,No,No
Senior,Travel_Rarely,Research & Development,D3,Technical Degree,Female,Healthcare Representative,Single,Yes,No
Senior,Travel_Rarely,Research & Development,S2,Medical,Male,Research Scientist,Married,No,Yes
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Research Scientist,Single,Yes,No
Junior Senior,Travel_Rarely,Sales,D3,Technical Degree,Female,Sales Executive,Married,Yes,No
Junior,Travel_Rarely,Sales,S1,Life Sciences,Male,Sales Executive,Single,Yes,No
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Male,Sales Executive,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Medical,Female,Research Scientist,Single,No,No
Junior,Travel_Rarely,Research & Development,S2,Medical,Male,Research Scientist,Married,Yes,Yes
Junior Senior,Travel_Rarely,Research & Development,D3,Medical,Female,Research Scientist,Married,No,No
Junior Senior,Travel_Frequently,Research & Development,D3,Life Sciences,Female,Manufacturing Director,Married,No,No
Junior Senior,Travel_Frequently,Research & Development,D3,Medical,Male,Manager,Married,No,No
Junior Senior,Travel_Rarely,Sales,D3,Medical,Female,Sales Executive,Married,Yes,Yes
Junior Senior,Travel_Frequently,Sales,S1,Marketing,Male,Sales Executive,Single,No,No
Senior,Travel_Rarely,Research & Development,S3,Life Sciences,Male,Research Director,Married,No,No
Senior,Travel_Frequently,Research & Development,S2,Life Sciences,Female,Laboratory Technician,Divorced,No,No
Junior,Non-Travel,Sales,SMA,Marketing,Male,Sales Executive,Married,Yes,No
Senior,Travel_Frequently,Research & Development,S2,Life Sciences,Female,Research Scientist,Single,No,No
Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Healthcare Representative,Married,No,No
Senior,Travel_Rarely,Research & Development,S2,Other,Male,Research Scientist,Married,No,No
Senior,Travel_Rarely,Sales,D3,Medical,Male,Sales Executive,Married,Yes,No
Junior,Travel_Rarely,Research & Development,S2,Other,Male,Laboratory Technician,Married,Yes,Yes
Junior,Travel_Rarely,Research & Development,S3,Other,Male,Laboratory Technician,Single,No,No
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Female,Sales Executive,Divorced,No,No
Junior,Travel_Rarely,Sales,S2,Marketing,Female,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Medical,Male,Manufacturing Director,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Research Director,Divorced,Yes,No
Junior Senior,Travel_Rarely,Research & Development,S2,Medical,Female,Manufacturing Director,Single,Yes,No
Junior,Travel_Rarely,Sales,SMA,Marketing,Female,Sales Executive,Divorced,Yes,No
Junior Senior,Travel_Rarely,Research & Development,S2,Technical Degree,Male,Manufacturing Director,Single,No,No
Junior,Travel_Rarely,Research & Development,SMA,Life Sciences,Male,Research Scientist,Divorced,No,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Manufacturing Director,Single,Yes,No
Senior,Travel_Frequently,Sales,SMA,Medical,Male,Sales Representative,Single,No,No
Senior,Travel_Rarely,Research & Development,S3,Life Sciences,Female,Research Director,Single,No,No
Junior,Non-Travel,Sales,S1,Life Sciences,Male,Sales Executive,Married,No,No
Senior,Travel_Rarely,Human Resources,SMA,Technical Degree,Male,Human Resources,Divorced,Yes,No
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Female,Laboratory Technician,Married,No,No
Senior,Travel_Rarely,Sales,SMA,Medical,Female,Manager,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Research Scientist,Divorced,Yes,No
Junior Senior,Non-Travel,Sales,D3,Technical Degree,Female,Sales Executive,Married,Yes,No
Junior,Travel_Rarely,Sales,S1,Life Sciences,Male,Sales Executive,Married,No,No
Senior,Travel_Rarely,Research & Development,S2,Other,Male,Healthcare Representative,Single,No,No
Junior,Travel_Frequently,Sales,SMA,Technical Degree,Female,Sales Representative,Single,Yes,Yes
Junior Senior,Non-Travel,Sales,S3,Medical,Female,Sales Executive,Single,No,No
Junior Senior,Travel_Frequently,Sales,S2,Medical,Male,Sales Executive,Married,No,No
Senior,Travel_Rarely,Research & Development,S2,Medical,Male,Healthcare Representative,Married,No,No
Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Laboratory Technician,Married,Yes,No
Junior,Non-Travel,Sales,D3,Medical,Male,Sales Representative,Single,No,No
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Female,Sales Representative,Single,Yes,Yes
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Female,Laboratory Technician,Married,No,No
Senior,Non-Travel,Research & Development,S2,Medical,Female,Manufacturing Director,Married,No,No
Senior,Travel_Frequently,Sales,S1,Marketing,Male,Sales Executive,Single,No,Yes
Senior,Travel_Rarely,Research & Development,S1,Technical Degree,Male,Healthcare Representative,Single,No,No
Senior,Travel_Rarely,Sales,D3,Marketing,Male,Sales Executive,Married,Yes,Yes
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Male,Research Scientist,Single,Yes,No
Junior,Travel_Rarely,Sales,S1,Life Sciences,Female,Sales Representative,Single,No,Yes
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Research Scientist,Single,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Male,Healthcare Representative,Single,No,No
Junior,Travel_Rarely,Research & Development,D3,Medical,Male,Laboratory Technician,Divorced,No,No
Junior,Travel_Rarely,Sales,S2,Life Sciences,Male,Sales Executive,Single,No,No
Senior,Travel_Rarely,Research & Development,S1,Other,Male,Healthcare Representative,Single,No,No
Senior,Travel_Rarely,Sales,D3,Life Sciences,Female,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Research Scientist,Married,No,No
Junior Senior,Non-Travel,Sales,S1,Marketing,Male,Sales Executive,Single,Yes,Yes
Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Manager,Single,Yes,No
Junior,Travel_Rarely,Sales,S2,Marketing,Female,Sales Executive,Divorced,Yes,No
Junior Senior,Travel_Rarely,Sales,SMA,Technical Degree,Male,Sales Representative,Married,No,No
Junior,Travel_Frequently,Research & Development,SMA,Technical Degree,Male,Research Scientist,Single,No,Yes
Junior,Travel_Rarely,Research & Development,S1,Medical,Female,Research Scientist,Married,No,No
Junior Senior,Travel_Rarely,Sales,D3,Medical,Male,Sales Executive,Married,No,No
Junior Senior,Travel_Frequently,Research & Development,S1,Technical Degree,Male,Research Scientist,Single,Yes,Yes
Junior Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Laboratory Technician,Divorced,No,No
Senior,Travel_Rarely,Sales,D3,Marketing,Female,Sales Executive,Divorced,No,No
Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Laboratory Technician,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Male,Manufacturing Director,Single,Yes,No
Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Research Director,Divorced,No,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Female,Laboratory Technician,Married,No,No
Senior,Travel_Rarely,Research & Development,D3,Medical,Male,Research Director,Married,No,No
Junior Senior,Non-Travel,Sales,S2,Marketing,Female,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Medical,Female,Manufacturing Director,Married,No,No
Senior,Travel_Frequently,Research & Development,S1,Medical,Male,Laboratory Technician,Married,No,No
Senior,Travel_Rarely,Research & Development,S2,Other,Female,Healthcare Representative,Divorced,Yes,No
Junior,Travel_Rarely,Sales,D3,Life Sciences,Female,Sales Executive,Single,Yes,No
Junior Senior,Non-Travel,Research & Development,S3,Medical,Female,Research Scientist,Married,Yes,No
Junior Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Laboratory Technician,Married,No,No
Junior Senior,Travel_Frequently,Research & Development,SMA,Life Sciences,Male,Manager,Divorced,Yes,No
Senior,Travel_Frequently,Sales,S1,Life Sciences,Female,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Sales,S1,Technical Degree,Female,Sales Executive,Single,No,No
Senior,Travel_Rarely,Sales,S1,Marketing,Male,Sales Executive,Married,No,No
Junior,Travel_Rarely,Research & Development,D3,Medical,Male,Laboratory Technician,Divorced,No,No
Junior,Travel_Rarely,Research & Development,S1,Medical,Male,Laboratory Technician,Married,No,Yes
Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Manufacturing Director,Married,Yes,No
Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Research Scientist,Married,No,No
Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Female,Manager,Married,No,No
Senior,Travel_Frequently,Research & Development,D3,Life Sciences,Female,Research Scientist,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Manufacturing Director,Single,No,No
Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Manager,Married,No,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Female,Manufacturing Director,Divorced,No,No
Senior,Travel_Frequently,Research & Development,S2,Technical Degree,Female,Healthcare Representative,Married,No,No
Junior,Travel_Rarely,Sales,SMA,Technical Degree,Female,Sales Representative,Single,Yes,Yes
Junior Senior,Travel_Frequently,Sales,D3,Marketing,Female,Sales Representative,Divorced,No,Yes
Junior Senior,Travel_Frequently,Research & Development,D3,Life Sciences,Male,Laboratory Technician,Married,Yes,No
Senior,Travel_Rarely,Sales,S2,Life Sciences,Female,Manager,Married,No,No
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Research Scientist,Divorced,No,No
Junior Senior,Non-Travel,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Married,No,No
Junior,Travel_Rarely,Research & Development,S2,Medical,Male,Research Director,Married,No,No
Junior,Travel_Rarely,Research & Development,S3,Technical Degree,Female,Research Scientist,Married,No,Yes
Junior,Travel_Rarely,Human Resources,D3,Technical Degree,Male,Human Resources,Single,No,Yes
Junior Senior,Non-Travel,Sales,S2,Other,Female,Sales Executive,Married,No,No
Senior,Travel_Rarely,Sales,S1,Marketing,Male,Manager,Divorced,No,No
Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Male,Manager,Married,No,No
Junior Senior,Non-Travel,Research & Development,S1,Medical,Female,Laboratory Technician,Single,No,No
Senior,Travel_Frequently,Sales,S1,Marketing,Female,Sales Executive,Married,No,No
Senior,Travel_Rarely,Research & Development,D3,Medical,Female,Manufacturing Director,Divorced,No,No
Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Research Director,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Single,No,No
Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Laboratory Technician,Single,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Male,Research Scientist,Divorced,No,No
Senior,Travel_Rarely,Sales,S1,Marketing,Female,Sales Executive,Married,Yes,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Life Sciences,Male,Manufacturing Director,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Medical,Male,Manager,Married,Yes,Yes
Junior Senior,Travel_Rarely,Research & Development,SMA,Medical,Male,Laboratory Technician,Divorced,No,Yes
Junior Senior,Travel_Rarely,Sales,SMA,Marketing,Male,Sales Representative,Single,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Healthcare Representative,Married,Yes,No
Junior Senior,Travel_Frequently,Research & Development,S1,Life Sciences,Male,Healthcare Representative,Married,No,Yes
Junior Senior,Travel_Frequently,Human Resources,S1,Human Resources,Female,Human Resources,Divorced,Yes,Yes
Senior,Travel_Frequently,Research & Development,D3,Other,Male,Laboratory Technician,Married,No,No
Junior Senior,Non-Travel,Sales,S2,Medical,Male,Sales Executive,Single,No,No
Junior,Travel_Frequently,Research & Development,SMA,Technical Degree,Male,Laboratory Technician,Single,No,Yes
Senior,Travel_Rarely,Sales,S3,Marketing,Female,Sales Executive,Married,No,No
Senior,Travel_Rarely,Sales,S3,Life Sciences,Female,Manager,Single,No,No
Senior,Non-Travel,Sales,D3,Life Sciences,Male,Sales Executive,Single,No,No
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Male,Sales Executive,Married,No,No
Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Manufacturing Director,Single,No,No
Junior Senior,Travel_Frequently,Research & Development,SMA,Life Sciences,Female,Laboratory Technician,Married,No,No
Junior Senior,Travel_Rarely,Sales,SMA,Life Sciences,Male,Sales Executive,Single,Yes,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Manufacturing Director,Married,Yes,No
Senior,Travel_Rarely,Sales,S1,Other,Male,Sales Executive,Married,No,No
Junior,Travel_Frequently,Human Resources,S2,Life Sciences,Female,Human Resources,Divorced,Yes,Yes
Junior,Travel_Rarely,Research & Development,S1,Technical Degree,Male,Manufacturing Director,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,S3,Medical,Female,Research Director,Divorced,No,No
Junior Senior,Travel_Rarely,Sales,S1,Life Sciences,Male,Manager,Divorced,No,No
Junior,Travel_Frequently,Sales,S1,Marketing,Male,Sales Representative,Single,Yes,Yes
Senior,Non-Travel,Sales,S1,Other,Male,Sales Executive,Divorced,No,No
Senior,Non-Travel,Research & Development,S2,Other,Female,Healthcare Representative,Single,Yes,No
Junior,Travel_Rarely,Sales,D3,Medical,Male,Sales Executive,Divorced,No,No
Junior Senior,Travel_Rarely,Sales,S1,Medical,Female,Sales Executive,Single,No,No
Junior Senior,Travel_Rarely,Sales,S2,Life Sciences,Male,Sales Executive,Single,No,No
Junior,Travel_Rarely,Research & Development,S1,Technical Degree,Male,Laboratory Technician,Single,Yes,Yes
Junior Senior,Travel_Rarely,Research & Development,S1,Technical Degree,Female,Manufacturing Director,Single,No,No
Senior,Travel_Frequently,Research & Development,SMA,Medical,Female,Healthcare Representative,Married,No,No
Senior,Travel_Rarely,Sales,S3,Life Sciences,Female,Manager,Married,No,No
Junior Senior,Non-Travel,Sales,S2,Medical,Male,Sales Executive,Divorced,No,No
Senior,Travel_Rarely,Research & Development,D3,Technical Degree,Male,Research Scientist,Divorced,Yes,No
Junior Senior,Non-Travel,Sales,S2,Other,Male,Sales Executive,Married,No,Yes
Junior,Travel_Frequently,Sales,S1,Medical,Male,Sales Representative,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Female,Healthcare Representative,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Manufacturing Director,Married,No,No
Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Male,Research Director,Divorced,Yes,No
Junior,Travel_Rarely,Research & Development,S1,Medical,Male,Research Scientist,Married,Yes,No
Junior,Travel_Rarely,Sales,D3,Marketing,Male,Sales Executive,Married,No,No
Junior,Travel_Rarely,Research & Development,D3,Other,Male,Laboratory Technician,Married,No,No
Senior,Travel_Frequently,Human Resources,S1,Medical,Male,Manager,Married,No,No
Junior,Travel_Rarely,Sales,SMA,Medical,Male,Sales Representative,Married,No,No
Junior,Travel_Frequently,Research & Development,S1,Life Sciences,Female,Laboratory Technician,Married,Yes,Yes
Junior Senior,Travel_Frequently,Sales,S2,Life Sciences,Male,Sales Representative,Married,No,Yes
Junior Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Research Scientist,Married,Yes,No
Junior Senior,Travel_Rarely,Sales,S2,Medical,Male,Sales Executive,Divorced,No,Yes
Junior Senior,Travel_Rarely,Research & Development,D3,Other,Male,Laboratory Technician,Single,No,No
Junior Senior,Travel_Rarely,Sales,S2,Medical,Male,Sales Executive,Divorced,No,No
Junior,Travel_Rarely,Research & Development,S2,Medical,Female,Research Scientist,Divorced,No,No
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Male,Sales Executive,Married,Yes,No
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Research Scientist,Single,No,No
Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Healthcare Representative,Married,No,No
Senior,Travel_Rarely,Research & Development,S2,Other,Male,Research Director,Divorced,Yes,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Life Sciences,Female,Research Scientist,Single,No,No
Senior,Travel_Frequently,Research & Development,S3,Medical,Male,Laboratory Technician,Divorced,Yes,No
Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Manager,Married,No,No
Senior,Travel_Rarely,Human Resources,S2,Life Sciences,Female,Human Resources,Single,No,No
Junior Senior,Travel_Rarely,Sales,S1,Technical Degree,Female,Sales Representative,Divorced,Yes,No
Junior,Travel_Rarely,Sales,SMA,Marketing,Male,Sales Representative,Divorced,No,Yes
Junior,Travel_Rarely,Sales,SMA,Technical Degree,Male,Sales Representative,Single,No,No
Senior,Travel_Rarely,Research & Development,S2,Other,Male,Manager,Married,Yes,No
Junior,Travel_Rarely,Research & Development,SMA,Medical,Male,Research Scientist,Married,No,No
Junior Senior,Travel_Rarely,Sales,S2,Marketing,Male,Sales Executive,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Research Scientist,Married,Yes,No
Junior Senior,Travel_Frequently,Research & Development,S1,Medical,Female,Research Scientist,Divorced,No,No
Senior,Travel_Rarely,Sales,SMA,Medical,Female,Sales Executive,Single,No,No
Junior Senior,Travel_Rarely,Research & Development,S3,Life Sciences,Male,Research Scientist,Married,No,No
Senior,Travel_Frequently,Sales,S2,Life Sciences,Female,Sales Executive,Married,No,Yes
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Laboratory Technician,Married,Yes,No
Junior Senior,Travel_Rarely,Research & Development,S1,Other,Male,Manufacturing Director,Married,No,No
Junior,Travel_Rarely,Sales,D3,Medical,Female,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Male,Research Scientist,Single,No,No
Junior Senior,Travel_Frequently,Research & Development,S1,Life Sciences,Male,Healthcare Representative,Divorced,No,No
Senior,Travel_Rarely,Human Resources,S2,Medical,Male,Human Resources,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Medical,Male,Manufacturing Director,Divorced,Yes,No
Junior,Travel_Rarely,Research & Development,S2,Medical,Male,Research Scientist,Single,No,No
Junior,Travel_Rarely,Research & Development,SMA,Medical,Male,Research Scientist,Single,Yes,Yes
Junior Senior,Travel_Frequently,Research & Development,S1,Life Sciences,Male,Research Scientist,Single,Yes,Yes
Junior Senior,Non-Travel,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Married,No,No
Junior,Travel_Rarely,Research & Development,S1,Medical,Male,Research Scientist,Married,No,No
Junior,Travel_Rarely,Sales,S1,Life Sciences,Male,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Sales,S2,Marketing,Female,Sales Executive,Single,No,No
Junior,Travel_Frequently,Research & Development,S2,Life Sciences,Male,Research Scientist,Divorced,No,No
Senior,Travel_Rarely,Sales,SMA,Marketing,Male,Sales Executive,Married,No,No
Junior,Travel_Frequently,Sales,SMA,Medical,Female,Sales Executive,Divorced,Yes,No
Junior Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Research Scientist,Single,No,No
Senior,Travel_Rarely,Research & Development,SMA,Medical,Male,Laboratory Technician,Married,Yes,No
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Female,Healthcare Representative,Single,No,No
Junior,Travel_Rarely,Sales,D3,Life Sciences,Female,Sales Executive,Single,No,Yes
Junior Senior,Travel_Rarely,Research & Development,S2,Technical Degree,Female,Healthcare Representative,Single,No,No
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Male,Sales Executive,Single,No,No
Senior,Travel_Frequently,Sales,D3,Technical Degree,Male,Sales Executive,Married,Yes,Yes
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Healthcare Representative,Single,No,No
Junior,Travel_Rarely,Research & Development,D3,Life Sciences,Female,Manufacturing Director,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Female,Research Director,Single,No,No
Senior,Travel_Rarely,Sales,S2,Marketing,Male,Sales Executive,Single,No,No
Senior,Travel_Frequently,Sales,S2,Life Sciences,Male,Sales Executive,Married,Yes,No
Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Research Director,Married,No,No
Senior,Travel_Rarely,Human Resources,S2,Human Resources,Male,Manager,Divorced,No,No
Senior,Travel_Rarely,Sales,S2,Marketing,Male,Sales Executive,Single,No,No
Junior,Travel_Frequently,Research & Development,D3,Life Sciences,Male,Manufacturing Director,Divorced,No,No
Senior,Travel_Rarely,Human Resources,S1,Human Resources,Male,Manager,Married,No,No
Senior,Travel_Rarely,Sales,S2,Marketing,Male,Sales Representative,Married,No,No
Junior,Travel_Rarely,Research & Development,D3,Life Sciences,Female,Research Scientist,Single,Yes,Yes
Junior Senior,Non-Travel,Research & Development,S1,Life Sciences,Female,Research Director,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Female,Manufacturing Director,Single,Yes,No
Senior,Non-Travel,Research & Development,S1,Medical,Male,Laboratory Technician,Single,No,No
Senior,Travel_Frequently,Sales,S1,Medical,Female,Sales Executive,Divorced,Yes,No
Junior Senior,Travel_Rarely,Sales,S3,Marketing,Male,Sales Executive,Divorced,No,No
Junior,Travel_Rarely,Sales,S1,Life Sciences,Male,Sales Representative,Single,No,No
Senior,Travel_Frequently,Research & Development,S1,Medical,Male,Research Scientist,Divorced,Yes,Yes
Senior,Travel_Frequently,Sales,S1,Life Sciences,Male,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Medical,Female,Healthcare Representative,Single,No,No
Junior,Travel_Rarely,Research & Development,SMA,Medical,Male,Laboratory Technician,Married,No,No
Junior Senior,Travel_Rarely,Human Resources,S1,Human Resources,Female,Human Resources,Married,No,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Healthcare Representative,Married,No,No
Senior,Travel_Rarely,Research & Development,SMA,Medical,Female,Research Scientist,Single,Yes,No
Junior,Travel_Rarely,Research & Development,S1,Medical,Female,Healthcare Representative,Single,No,No
Junior,Travel_Rarely,Sales,S1,Marketing,Male,Sales Representative,Divorced,No,No
Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Single,No,No
Junior Senior,Non-Travel,Research & Development,S2,Life Sciences,Female,Healthcare Representative,Divorced,No,No
Junior Senior,Travel_Frequently,Research & Development,S2,Life Sciences,Male,Laboratory Technician,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S3,Medical,Male,Research Scientist,Married,Yes,No
Junior Senior,Travel_Rarely,Research & Development,S3,Life Sciences,Female,Manufacturing Director,Divorced,No,No
Senior,Travel_Rarely,Sales,S2,Marketing,Male,Manager,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Other,Male,Research Scientist,Single,Yes,Yes
Junior,Travel_Rarely,Sales,SMA,Medical,Female,Sales Executive,Single,No,No
Senior,Travel_Rarely,Sales,D3,Technical Degree,Male,Sales Representative,Single,No,No
Junior,Travel_Rarely,Research & Development,SMA,Medical,Male,Research Scientist,Single,No,No
Senior,Travel_Frequently,Sales,D3,Life Sciences,Female,Sales Executive,Single,Yes,Yes
Junior Senior,Travel_Rarely,Sales,S1,Other,Male,Sales Executive,Single,No,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Manager,Married,Yes,Yes
Junior Senior,Non-Travel,Sales,S2,Life Sciences,Male,Sales Executive,Single,No,No
Senior,Non-Travel,Research & Development,S2,Medical,Male,Research Scientist,Married,No,No
Junior,Travel_Frequently,Research & Development,D3,Life Sciences,Female,Laboratory Technician,Divorced,No,No
Junior,Travel_Rarely,Research & Development,S1,Medical,Female,Healthcare Representative,Married,No,No
Junior,Travel_Rarely,Sales,S1,Technical Degree,Male,Sales Executive,Single,No,Yes
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Research Scientist,Single,No,No
Senior,Travel_Rarely,Research & Development,S2,Medical,Female,Manufacturing Director,Divorced,Yes,No
Junior,Travel_Frequently,Sales,SMA,Marketing,Male,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Life Sciences,Female,Research Scientist,Divorced,Yes,No
Junior Senior,Travel_Frequently,Research & Development,S2,Life Sciences,Female,Manufacturing Director,Single,Yes,No
Junior Senior,Travel_Rarely,Research & Development,S2,Medical,Female,Research Scientist,Single,No,No
Junior Senior,Travel_Rarely,Sales,S2,Life Sciences,Female,Sales Representative,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Married,No,No
Senior,Travel_Frequently,Research & Development,D3,Medical,Female,Healthcare Representative,Married,No,No
Junior Senior,Travel_Rarely,Sales,D3,Life Sciences,Female,Sales Executive,Married,No,No
Senior,Travel_Frequently,Research & Development,S1,Life Sciences,Male,Manager,Divorced,No,No
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Married,Yes,Yes
Junior,Non-Travel,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Divorced,No,No
Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Laboratory Technician,Married,No,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Research Director,Married,No,No
Junior,Travel_Rarely,Research & Development,D3,Life Sciences,Female,Laboratory Technician,Married,Yes,Yes
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Research Director,Married,No,No
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Female,Sales Executive,Single,No,Yes
Senior,Travel_Rarely,Research & Development,D3,Other,Female,Manager,Married,Yes,No
